variable,comunidad,fecha,valor
Hidráulica,aragon,2023-01-01,138223.339
Hidráulica,aragon,2023-02-01,144140.23
Hidráulica,aragon,2023-03-01,196557.201
Hidráulica,aragon,2023-04-01,182705.969
Hidráulica,aragon,2023-05-01,173256.103
Hidráulica,aragon,2023-06-01,247530.64
Hidráulica,aragon,2023-07-01,188518.524
Hidráulica,aragon,2023-08-01,129129.092
Hidráulica,aragon,2023-09-01,121116.061
Hidráulica,aragon,2023-10-01,157271.038
Hidráulica,aragon,2023-11-01,279754.205
Hidráulica,aragon,2023-12-01,352917.856
Hidráulica,aragon,2024-01-01,253948.583
Hidráulica,aragon,2024-02-01,216570.455
Hidráulica,aragon,2024-03-01,414580.538
Hidráulica,aragon,2024-04-01,414788.598
Hidráulica,aragon,2024-05-01,372989.858
Hidráulica,aragon,2024-06-01,358034.757
Hidráulica,aragon,2024-07-01,267296.992
Hidráulica,aragon,2024-08-01,182676.946
Hidráulica,aragon,2024-09-01,247572.743
Hidráulica,aragon,2024-10-01,397927.049
Hidráulica,aragon,2024-11-01,371000.629
Hidráulica,aragon,2024-12-01,309806.729
Eólica,aragon,2023-01-01,1614538.718
Eólica,aragon,2023-02-01,647693.224
Eólica,aragon,2023-03-01,1156474.321
Eólica,aragon,2023-04-01,1006824.51
Eólica,aragon,2023-05-01,1369951.229
Eólica,aragon,2023-06-01,651484.063
Eólica,aragon,2023-07-01,874266.144
Eólica,aragon,2023-08-01,942736.263
Eólica,aragon,2023-09-01,479995.212
Eólica,aragon,2023-10-01,753966.96
Eólica,aragon,2023-11-01,1351550.71
Eólica,aragon,2023-12-01,1157859.786
Eólica,aragon,2024-01-01,939643.313
Eólica,aragon,2024-02-01,1377727.268
Eólica,aragon,2024-03-01,1020792.461
Eólica,aragon,2024-04-01,1023185.71
Eólica,aragon,2024-05-01,774474.747
Eólica,aragon,2024-06-01,934014.75
Eólica,aragon,2024-07-01,886552.412
Eólica,aragon,2024-08-01,795170.581
Eólica,aragon,2024-09-01,909168.939
Eólica,aragon,2024-10-01,777809.267
Eólica,aragon,2024-11-01,757848.148
Eólica,aragon,2024-12-01,1261691.656
Solar fotovoltaica,aragon,2023-01-01,142219.179
Solar fotovoltaica,aragon,2023-02-01,206100.924
Solar fotovoltaica,aragon,2023-03-01,312663.144
Solar fotovoltaica,aragon,2023-04-01,383961.203
Solar fotovoltaica,aragon,2023-05-01,425807.079
Solar fotovoltaica,aragon,2023-06-01,400048.56
Solar fotovoltaica,aragon,2023-07-01,514099.227
Solar fotovoltaica,aragon,2023-08-01,456392.554
Solar fotovoltaica,aragon,2023-09-01,344852.974
Solar fotovoltaica,aragon,2023-10-01,268814.647
Solar fotovoltaica,aragon,2023-11-01,208580.35
Solar fotovoltaica,aragon,2023-12-01,182697.33
