variable,comunidad,fecha,valor
Hidráulica,asturias,2023-01-01,339398.022
Hidráulica,asturias,2023-02-01,193510.875
Hidráulica,asturias,2023-03-01,174584.088
Hidráulica,asturias,2023-04-01,91149.563
Hidráulica,asturias,2023-05-01,80680.594
Hidráulica,asturias,2023-06-01,82923.489
Hidráulica,asturias,2023-07-01,44749.791
Hidráulica,asturias,2023-08-01,53574.172
Hidráulica,asturias,2023-09-01,62734.527
Hidráulica,asturias,2023-10-01,100307.262
Hidráulica,asturias,2023-11-01,265269.289
Hidráulica,asturias,2023-12-01,231769.41
Hidráulica,asturias,2024-01-01,215340.676
Hidráulica,asturias,2024-02-01,159394.546
Hidráulica,asturias,2024-03-01,335331.266
Hidráulica,asturias,2024-04-01,154751.541
Hidráulica,asturias,2024-05-01,138950.19
Hidráulica,asturias,2024-06-01,103968.48
Hidráulica,asturias,2024-07-01,72496.34
Hidráulica,asturias,2024-08-01,68143.377
Hidráulica,asturias,2024-09-01,76486.269
Hidráulica,asturias,2024-10-01,174186.494
Hidráulica,asturias,2024-11-01,140328.646
Hidráulica,asturias,2024-12-01,197042.354
Eólica,asturias,2023-01-01,183131.09
Eólica,asturias,2023-02-01,89787.872
Eólica,asturias,2023-03-01,193930.269
Eólica,asturias,2023-04-01,104657.733
Eólica,asturias,2023-05-01,98714.837
Eólica,asturias,2023-06-01,30148.15
Eólica,asturias,2023-07-01,43557.134
Eólica,asturias,2023-08-01,63706.012
Eólica,asturias,2023-09-01,77115.287
Eólica,asturias,2023-10-01,174966.075
Eólica,asturias,2023-11-01,195726.926
Eólica,asturias,2023-12-01,159326.089
Eólica,asturias,2024-01-01,157322.187
Eólica,asturias,2024-02-01,148367.778
Eólica,asturias,2024-03-01,114064.288
Eólica,asturias,2024-04-01,97389.46
Eólica,asturias,2024-05-01,106670.855
Eólica,asturias,2024-06-01,83374.94
Eólica,asturias,2024-07-01,53461.575
Eólica,asturias,2024-08-01,41112.159
Eólica,asturias,2024-09-01,111158.225
Eólica,asturias,2024-10-01,138456.224
Eólica,asturias,2024-11-01,137171.179
Eólica,asturias,2024-12-01,118885.403
Solar fotovoltaica,asturias,2023-01-01,25.566
Solar fotovoltaica,asturias,2023-02-01,36.229
Solar fotovoltaica,asturias,2023-03-01,56.438
Solar fotovoltaica,asturias,2023-04-01,82.696
Solar fotovoltaica,asturias,2023-05-01,77.887
Solar fotovoltaica,asturias,2023-06-01,69.727
Solar fotovoltaica,asturias,2023-07-01,67.693
Solar fotovoltaica,asturias,2023-08-01,60.528
Solar fotovoltaica,asturias,2023-09-01,57.635
Solar fotovoltaica,asturias,2023-10-01,39.241
Solar fotovoltaica,asturias,2023-11-01,22.471
Solar fotovoltaica,asturias,2023-12-01,23.072
Solar fotovoltaica,asturias,2024-01-01,25.762
Solar fotovoltaica,asturias,2024-02-01,31.443
Solar fotovoltaica,asturias,2024-03-01,52.931
Solar fotovoltaica,asturias,2024-04-01,65.741
Solar fotovoltaica,asturias,2024-05-01,63.824
Solar fotovoltaica,asturias,2024-06-01,55.784
Solar fotovoltaica,asturias,2024-07-01,72.726
Solar fotovoltaica,asturias,2024-08-01,61.88
Solar fotovoltaica,asturias,2024-09-01,59.3
Solar fotovoltaica,asturias,2024-10-01,37.921
Solar fotovoltaica,asturias,2024-11-01,30.479
Solar fotovoltaica,asturias,2024-12-01,21.988
Otras renovables,asturias,2023-01-01,19027.666
Otras renovables,asturias,2023-02-01,17707.555
Otras renovables,asturias,2023-03-01,21313.42
Otras renovables,asturias,2023-04-01,22760.231
Otras renovables,asturias,2023-05-01,20860.029
Otras renovables,asturias,2023-06-01,19536.141
Otras renovables,asturias,2023-07-01,14070.479
Otras renovables,asturias,2023-08-01,20589.99
Otras renovables,asturias,2023-09-01,23812.644
Otras renovables,asturias,2023-10-01,25262.251
Otras renovables,asturias,2023-11-01,22535.067
Otras renovables,asturias,2023-12-01,22907.412
Otras renovables,asturias,2024-01-01,20333.359
Otras renovables,asturias,2024-02-01,16516.093
Otras renovables,asturias,2024-03-01,20620.744
Otras renovables,asturias,2024-04-01,15291.302
Otras renovables,asturias,2024-05-01,10650.562
