variable,comunidad,fecha,valor
Hidráulica,cantabria,2023-01-01,20691.749
Hidráulica,cantabria,2023-02-01,26144.179
Hidráulica,cantabria,2023-03-01,31191.309
Hidráulica,cantabria,2023-04-01,11075.958
Hidráulica,cantabria,2023-05-01,14668.023
Hidráulica,cantabria,2023-06-01,16149.28
Hidráulica,cantabria,2023-07-01,10929.087
Hidráulica,cantabria,2023-08-01,4249.138
Hidráulica,cantabria,2023-09-01,8804.64
Hidráulica,cantabria,2023-10-01,7153.182
Hidráulica,cantabria,2023-11-01,13427.475
Hidráulica,cantabria,2023-12-01,18838.609
Hidráulica,cantabria,2024-01-01,19830.439
Hidráulica,cantabria,2024-02-01,11054.901
Hidráulica,cantabria,2024-03-01,26179.716
Hidráulica,cantabria,2024-04-01,17127.552
Hidráulica,cantabria,2024-05-01,19037.164
Hidráulica,cantabria,2024-06-01,14805.85
Hidráulica,cantabria,2024-07-01,11411.823
Hidráulica,cantabria,2024-08-01,2090.945
Hidráulica,cantabria,2024-09-01,10004.064
Hidráulica,cantabria,2024-10-01,17568.971
Hidráulica,cantabria,2024-11-01,18594.656
Hidráulica,cantabria,2024-12-01,36746.144
Eólica,cantabria,2023-01-01,5901.238
Eólica,cantabria,2023-02-01,4222.24
Eólica,cantabria,2023-03-01,9095.827
Eólica,cantabria,2023-04-01,3759.783
Eólica,cantabria,2023-05-01,5414.059
Eólica,cantabria,2023-06-01,2973.188
Eólica,cantabria,2023-07-01,2135.73
Eólica,cantabria,2023-08-01,3924.877
Eólica,cantabria,2023-09-01,6180.096
Eólica,cantabria,2023-10-01,8896.341
Eólica,cantabria,2023-11-01,8371.91
Eólica,cantabria,2023-12-01,8958.932
Eólica,cantabria,2024-01-01,6748.431
Eólica,cantabria,2024-02-01,6061.721
Eólica,cantabria,2024-03-01,6892.368
Eólica,cantabria,2024-04-01,4495.493
Eólica,cantabria,2024-05-01,3447.467
Eólica,cantabria,2024-06-01,2154.382
Eólica,cantabria,2024-07-01,2565.585
Eólica,cantabria,2024-08-01,1790.541
Eólica,cantabria,2024-09-01,3750.04
Eólica,cantabria,2024-10-01,6540.574
