variable,comunidad,fecha,valor
Hidráulica,castillalamancha,2023-01-01,57511.71
Hidráulica,castillalamancha,2023-02-01,58387.792
Hidráulica,castillalamancha,2023-03-01,63426.027
Hidráulica,castillalamancha,2023-04-01,53549.533
Hidráulica,castillalamancha,2023-05-01,54646.145
Hidráulica,castillalamancha,2023-06-01,51791.349
Hidráulica,castillalamancha,2023-07-01,40455.248
Hidráulica,castillalamancha,2023-08-01,40419.34
Hidráulica,castillalamancha,2023-09-01,52584.372
Hidráulica,castillalamancha,2023-10-01,40635.568
Hidráulica,castillalamancha,2023-11-01,44729.638
Hidráulica,castillalamancha,2023-12-01,60776.352
Hidráulica,castillalamancha,2024-01-01,67854.941
Hidráulica,castillalamancha,2024-02-01,66264.144
Hidráulica,castillalamancha,2024-03-01,105276.692
Hidráulica,castillalamancha,2024-04-01,119290.314
Hidráulica,castillalamancha,2024-05-01,88173.598
Hidráulica,castillalamancha,2024-06-01,76190.13
Hidráulica,castillalamancha,2024-07-01,64765.808
Hidráulica,castillalamancha,2024-08-01,42894.322
Hidráulica,castillalamancha,2024-09-01,44246.274
Hidráulica,castillalamancha,2024-10-01,40553.041
Hidráulica,castillalamancha,2024-11-01,58951.778
Hidráulica,castillalamancha,2024-12-01,44748.368
Eólica,castillalamancha,2023-01-01,994438.892
Eólica,castillalamancha,2023-02-01,779668.229
Eólica,castillalamancha,2023-03-01,953365.873
Eólica,castillalamancha,2023-04-01,671865.716
Eólica,castillalamancha,2023-05-01,538347.514
Eólica,castillalamancha,2023-06-01,391716.439
Eólica,castillalamancha,2023-07-01,594527.822
Eólica,castillalamancha,2023-08-01,560915.629
Eólica,castillalamancha,2023-09-01,578699.434
Eólica,castillalamancha,2023-10-01,936905.704
Eólica,castillalamancha,2023-11-01,1147661.751
Eólica,castillalamancha,2023-12-01,911901.701
Eólica,castillalamancha,2024-01-01,934657.379
Eólica,castillalamancha,2024-02-01,1177861.186
Eólica,castillalamancha,2024-03-01,1069597.718
Eólica,castillalamancha,2024-04-01,519401.762
Eólica,castillalamancha,2024-05-01,620963.518
Eólica,castillalamancha,2024-06-01,579783.649
Eólica,castillalamancha,2024-07-01,584459.778
Eólica,castillalamancha,2024-08-01,557676.895
Eólica,castillalamancha,2024-09-01,564729.842
Eólica,castillalamancha,2024-10-01,987854.017
Eólica,castillalamancha,2024-11-01,612195.448
Eólica,castillalamancha,2024-12-01,765813.972
Solar fotovoltaica,castillalamancha,2023-01-01,352727.656
Solar fotovoltaica,castillalamancha,2023-02-01,423031.918
Solar fotovoltaica,castillalamancha,2023-03-01,610852.228
