variable,comunidad,fecha,valor
Hidráulica,castillayleon,2023-01-01,1100674.485
Hidráulica,castillayleon,2023-02-01,697635.894
Hidráulica,castillayleon,2023-03-01,461155.967
Hidráulica,castillayleon,2023-04-01,316047.035
Hidráulica,castillayleon,2023-05-01,286950.755
Hidráulica,castillayleon,2023-06-01,544312.383
Hidráulica,castillayleon,2023-07-01,365122.194
Hidráulica,castillayleon,2023-08-01,298669.584
Hidráulica,castillayleon,2023-09-01,292581.656
Hidráulica,castillayleon,2023-10-01,349924.282
Hidráulica,castillayleon,2023-11-01,916890.671
Hidráulica,castillayleon,2023-12-01,1007656.538
Hidráulica,castillayleon,2024-01-01,1101255.784
Hidráulica,castillayleon,2024-02-01,690754.356
Hidráulica,castillayleon,2024-03-01,1054222.399
Hidráulica,castillayleon,2024-04-01,1182459.509
Hidráulica,castillayleon,2024-05-01,521508.826
Hidráulica,castillayleon,2024-06-01,510571.741
Hidráulica,castillayleon,2024-07-01,680071.785
Hidráulica,castillayleon,2024-08-01,601648.661
Hidráulica,castillayleon,2024-09-01,446649.483
Hidráulica,castillayleon,2024-10-01,740157.032
Hidráulica,castillayleon,2024-11-01,750081.743
Hidráulica,castillayleon,2024-12-01,513586.789
Eólica,castillayleon,2023-01-01,1544713.545
Eólica,castillayleon,2023-02-01,937632.905
Eólica,castillayleon,2023-03-01,1550498.375
Eólica,castillayleon,2023-04-01,1022160.898
Eólica,castillayleon,2023-05-01,1204328.465
Eólica,castillayleon,2023-06-01,593660.303
Eólica,castillayleon,2023-07-01,763812.009
Eólica,castillayleon,2023-08-01,787869.047
Eólica,castillayleon,2023-09-01,745309.506
Eólica,castillayleon,2023-10-01,1490460.656
Eólica,castillayleon,2023-11-01,1705415.564
Eólica,castillayleon,2023-12-01,1221768.658
Eólica,castillayleon,2024-01-01,1107737.473
Eólica,castillayleon,2024-02-01,1470112.983
Eólica,castillayleon,2024-03-01,1382567.158
Eólica,castillayleon,2024-04-01,1038574.309
Eólica,castillayleon,2024-05-01,830909.835
Eólica,castillayleon,2024-06-01,785535.287
Eólica,castillayleon,2024-07-01,819093.395
Eólica,castillayleon,2024-08-01,783598.51
Eólica,castillayleon,2024-09-01,1012184.463
Eólica,castillayleon,2024-10-01,1357365.366
Eólica,castillayleon,2024-11-01,1085839.874
Eólica,castillayleon,2024-12-01,841606.184
Solar fotovoltaica,castillayleon,2023-01-01,103360.6
Solar fotovoltaica,castillayleon,2023-02-01,162551.106
Solar fotovoltaica,castillayleon,2023-03-01,216082.701
Solar fotovoltaica,castillayleon,2023-04-01,287106.993
Solar fotovoltaica,castillayleon,2023-05-01,289258.298
Solar fotovoltaica,castillayleon,2023-06-01,271396.441
Solar fotovoltaica,castillayleon,2023-07-01,342781.068
Solar fotovoltaica,castillayleon,2023-08-01,319043.036
Solar fotovoltaica,castillayleon,2023-09-01,224824.924
Solar fotovoltaica,castillayleon,2023-10-01,170980.176
Solar fotovoltaica,castillayleon,2023-11-01,115920.811
Solar fotovoltaica,castillayleon,2023-12-01,97910.316
Solar fotovoltaica,castillayleon,2024-01-01,112346.49
Solar fotovoltaica,castillayleon,2024-02-01,173091.124
Solar fotovoltaica,castillayleon,2024-03-01,254860.632
Solar fotovoltaica,castillayleon,2024-04-01,338375.608
Solar fotovoltaica,castillayleon,2024-05-01,381479.157
Solar fotovoltaica,castillayleon,2024-06-01,400094.521
Solar fotovoltaica,castillayleon,2024-07-01,490592.214
Solar fotovoltaica,castillayleon,2024-08-01,450052.598
Solar fotovoltaica,castillayleon,2024-09-01,337858.487
Solar fotovoltaica,castillayleon,2024-10-01,190541.713
Solar fotovoltaica,castillayleon,2024-11-01,173368.105
Solar fotovoltaica,castillayleon,2024-12-01,135032.864
Otras renovables,castillayleon,2023-01-01,37191.928
Otras renovables,castillayleon,2023-02-01,47707.082
Otras renovables,castillayleon,2023-03-01,34930.301
Otras renovables,castillayleon,2023-04-01,42079.123
Otras renovables,castillayleon,2023-05-01,49435.424
Otras renovables,castillayleon,2023-06-01,40721.366
Otras renovables,castillayleon,2023-07-01,55613.053
Otras renovables,castillayleon,2023-08-01,53631.275
Otras renovables,castillayleon,2023-09-01,48262.525
Otras renovables,castillayleon,2023-10-01,50829.943
Otras renovables,castillayleon,2023-11-01,43134.423
Otras renovables,castillayleon,2023-12-01,51871.271
