variable,comunidad,fecha,valor
Hidráulica,cataluna,2023-01-01,134342.613
Hidráulica,cataluna,2023-02-01,130805.384
Hidráulica,cataluna,2023-03-01,213716.326
Hidráulica,cataluna,2023-04-01,196542.426
Hidráulica,cataluna,2023-05-01,226614.313
Hidráulica,cataluna,2023-06-01,291235.858
Hidráulica,cataluna,2023-07-01,208701.583
Hidráulica,cataluna,2023-08-01,168259.606
Hidráulica,cataluna,2023-09-01,125190.09
Hidráulica,cataluna,2023-10-01,118436.778
Hidráulica,cataluna,2023-11-01,154224.369
Hidráulica,cataluna,2023-12-01,251752.639
Hidráulica,cataluna,2024-01-01,215388.01
Hidráulica,cataluna,2024-02-01,163076.004
Hidráulica,cataluna,2024-03-01,301623.833
Hidráulica,cataluna,2024-04-01,371936.051
Hidráulica,cataluna,2024-05-01,493053.229
Hidráulica,cataluna,2024-06-01,399744.873
Hidráulica,cataluna,2024-07-01,263754.512
Hidráulica,cataluna,2024-08-01,198384.613
Hidráulica,cataluna,2024-09-01,207996.413
Hidráulica,cataluna,2024-10-01,311385.827
Hidráulica,cataluna,2024-11-01,340186.842
Hidráulica,cataluna,2024-12-01,333365.067
Eólica,cataluna,2023-01-01,360027.809
Eólica,cataluna,2023-02-01,176327.003
Eólica,cataluna,2023-03-01,319591.217
Eólica,cataluna,2023-04-01,285965.507
Eólica,cataluna,2023-05-01,227843.445
Eólica,cataluna,2023-06-01,134959.162
Eólica,cataluna,2023-07-01,222165.521
Eólica,cataluna,2023-08-01,297116.369
Eólica,cataluna,2023-09-01,195907.177
Eólica,cataluna,2023-10-01,190420.067
Eólica,cataluna,2023-11-01,337405.672
Eólica,cataluna,2023-12-01,329660.784
Eólica,cataluna,2024-01-01,275809.339
Eólica,cataluna,2024-02-01,277510.794
Eólica,cataluna,2024-03-01,229195.631
Eólica,cataluna,2024-04-01,211984.794
Eólica,cataluna,2024-05-01,215542.025
Eólica,cataluna,2024-06-01,242615.772
Eólica,cataluna,2024-07-01,247681.283
Eólica,cataluna,2024-08-01,191498.518
Eólica,cataluna,2024-09-01,239509.569
Eólica,cataluna,2024-10-01,217813.075
Eólica,cataluna,2024-11-01,185394.379
Eólica,cataluna,2024-12-01,301991.723
Solar fotovoltaica,cataluna,2023-01-01,21923.654
Solar fotovoltaica,cataluna,2023-02-01,26358.771
Solar fotovoltaica,cataluna,2023-03-01,38270.675
Solar fotovoltaica,cataluna,2023-04-01,42918.116
Solar fotovoltaica,cataluna,2023-05-01,41671.784
Solar fotovoltaica,cataluna,2023-06-01,38148.735
Solar fotovoltaica,cataluna,2023-07-01,43160.326
Solar fotovoltaica,cataluna,2023-08-01,43280.848
Solar fotovoltaica,cataluna,2023-09-01,34655.077
Solar fotovoltaica,cataluna,2023-10-01,28460.144
Solar fotovoltaica,cataluna,2023-11-01,22511.703
Solar fotovoltaica,cataluna,2023-12-01,18814.608
Solar fotovoltaica,cataluna,2024-01-01,18310.549
Solar fotovoltaica,cataluna,2024-02-01,24597.107
Solar fotovoltaica,cataluna,2024-03-01,33501.485
Solar fotovoltaica,cataluna,2024-04-01,39877.978
Solar fotovoltaica,cataluna,2024-05-01,48835.971
Solar fotovoltaica,cataluna,2024-06-01,44710.818
Solar fotovoltaica,cataluna,2024-07-01,51418.865
Solar fotovoltaica,cataluna,2024-08-01,48202.777
Solar fotovoltaica,cataluna,2024-09-01,39409.729
Solar fotovoltaica,cataluna,2024-10-01,28062.022
Solar fotovoltaica,cataluna,2024-11-01,19363.157
Solar fotovoltaica,cataluna,2024-12-01,21120.749
Solar térmica,cataluna,2023-01-01,1865.51
Solar térmica,cataluna,2023-02-01,2539.488
Solar térmica,cataluna,2023-03-01,4269.642
Solar térmica,cataluna,2023-04-01,6822.768
Solar térmica,cataluna,2023-05-01,7760.805
Solar térmica,cataluna,2023-06-01,8269.108
Solar térmica,cataluna,2023-07-01,9473.672
Solar térmica,cataluna,2023-08-01,8475.34
Solar térmica,cataluna,2023-09-01,1236.758
Solar térmica,cataluna,2023-10-01,4969.778
Solar térmica,cataluna,2023-11-01,5306.025
Solar térmica,cataluna,2023-12-01,4959.8
Solar térmica,cataluna,2024-01-01,3752.835
Solar térmica,cataluna,2024-02-01,4603.015
Solar térmica,cataluna,2024-03-01,4829.687
Solar térmica,cataluna,2024-04-01,6917.192
Solar térmica,cataluna,2024-05-01,7497.448
Solar térmica,cataluna,2024-06-01,6666.412
Solar térmica,cataluna,2024-07-01,7194.388
Solar térmica,cataluna,2024-08-01,7200.5
Solar térmica,cataluna,2024-09-01,3759.232
Solar térmica,cataluna,2024-10-01,5373.87
Solar térmica,cataluna,2024-11-01,4605.765
Solar térmica,cataluna,2024-12-01,4514.112
Otras renovables,cataluna,2023-01-01,13042.257
Otras renovables,cataluna,2023-02-01,13596.676
Otras renovables,cataluna,2023-03-01,14146.705
Otras renovables,cataluna,2023-04-01,12509.066
Otras renovables,cataluna,2023-05-01,11226.871
Otras renovables,cataluna,2023-06-01,10760.459
Otras renovables,cataluna,2023-07-01,10674.998
Otras renovables,cataluna,2023-08-01,9053.241
Otras renovables,cataluna,2023-09-01,9020.382
Otras renovables,cataluna,2023-10-01,9715.455
Otras renovables,cataluna,2023-11-01,9281.917
Otras renovables,cataluna,2023-12-01,9863.737
Otras renovables,cataluna,2024-01-01,10261.109
Otras renovables,cataluna,2024-02-01,10049.272
Otras renovables,cataluna,2024-03-01,10148.63
Otras renovables,cataluna,2024-04-01,8703.673
Otras renovables,cataluna,2024-05-01,9070.843
Otras renovables,cataluna,2024-06-01,9457.005
Otras renovables,cataluna,2024-07-01,9292.01
Otras renovables,cataluna,2024-08-01,8524.66
Otras renovables,cataluna,2024-09-01,8491.108
Otras renovables,cataluna,2024-10-01,9435.448
Otras renovables,cataluna,2024-11-01,9384.327
Otras renovables,cataluna,2024-12-01,9748.905
Residuos renovables,cataluna,2023-01-01,11749.521
Residuos renovables,cataluna,2023-02-01,9930.915
Residuos renovables,cataluna,2023-03-01,10273.25
Residuos renovables,cataluna,2023-04-01,11279.4435
Residuos renovables,cataluna,2023-05-01,11885.6765
Residuos renovables,cataluna,2023-06-01,12548.693
Residuos renovables,cataluna,2023-07-01,12419.584
Residuos renovables,cataluna,2023-08-01,11885.8405
Residuos renovables,cataluna,2023-09-01,12344.8345
Residuos renovables,cataluna,2023-10-01,11792.7355
Residuos renovables,cataluna,2023-11-01,11949.3925
Residuos renovables,cataluna,2023-12-01,12398.1835
Residuos renovables,cataluna,2024-01-01,11362.306
Residuos renovables,cataluna,2024-02-01,8853.902
Residuos renovables,cataluna,2024-03-01,9448.133
Residuos renovables,cataluna,2024-04-01,10383.7065
Residuos renovables,cataluna,2024-05-01,9655.581
Residuos renovables,cataluna,2024-06-01,10151.594
Residuos renovables,cataluna,2024-07-01,11886.1
Residuos renovables,cataluna,2024-08-01,12297.299
Residuos renovables,cataluna,2024-09-01,11178.8655
Residuos renovables,cataluna,2024-10-01,8574.004
Residuos renovables,cataluna,2024-11-01,11345.3345
Residuos renovables,cataluna,2024-12-01,12000.1585
Generación renovable,cataluna,2023-01-01,542951.364
Generación renovable,cataluna,2023-02-01,359558.237
