variable,comunidad,fecha,valor
Hidráulica,comunidadValenciana,2023-01-01,26944.908
Hidráulica,comunidadValenciana,2023-02-01,22580.083
Hidráulica,comunidadValenciana,2023-03-01,25237.933
Hidráulica,comunidadValenciana,2023-04-01,28300.408
Hidráulica,comunidadValenciana,2023-05-01,44333.662
Hidráulica,comunidadValenciana,2023-06-01,57468.275
Hidráulica,comunidadValenciana,2023-07-01,50224.221
Hidráulica,comunidadValenciana,2023-08-01,53460.604
Hidráulica,comunidadValenciana,2023-09-01,35327.118
Hidráulica,comunidadValenciana,2023-10-01,28436.4
Hidráulica,comunidadValenciana,2023-11-01,22978.517
Hidráulica,comunidadValenciana,2023-12-01,27320.403
Hidráulica,comunidadValenciana,2024-01-01,24524.357
Hidráulica,comunidadValenciana,2024-02-01,32029.001
Hidráulica,comunidadValenciana,2024-03-01,49682.569
Hidráulica,comunidadValenciana,2024-04-01,48134.259
Hidráulica,comunidadValenciana,2024-05-01,73943.024
Hidráulica,comunidadValenciana,2024-06-01,72542.209
Hidráulica,comunidadValenciana,2024-07-01,66045.269
Hidráulica,comunidadValenciana,2024-08-01,68981.463
Hidráulica,comunidadValenciana,2024-09-01,35681.139
Hidráulica,comunidadValenciana,2024-10-01,23117.256
Hidráulica,comunidadValenciana,2024-11-01,19695.465
Hidráulica,comunidadValenciana,2024-12-01,18591.108
Eólica,comunidadValenciana,2023-01-01,312480.34
Eólica,comunidadValenciana,2023-02-01,133859.902
Eólica,comunidadValenciana,2023-03-01,273937.368
Eólica,comunidadValenciana,2023-04-01,181151.133
Eólica,comunidadValenciana,2023-05-01,150520.558
Eólica,comunidadValenciana,2023-06-01,82371.409
Eólica,comunidadValenciana,2023-07-01,93613.751
Eólica,comunidadValenciana,2023-08-01,163832.736
Eólica,comunidadValenciana,2023-09-01,111587.419
Eólica,comunidadValenciana,2023-10-01,187068.683
Eólica,comunidadValenciana,2023-11-01,292901.207
Eólica,comunidadValenciana,2023-12-01,291961.582
Eólica,comunidadValenciana,2024-01-01,246712.131
Eólica,comunidadValenciana,2024-02-01,264816.271
Eólica,comunidadValenciana,2024-03-01,204024.93
Eólica,comunidadValenciana,2024-04-01,136266.116
Eólica,comunidadValenciana,2024-05-01,134344.027
Eólica,comunidadValenciana,2024-06-01,114500.691
Eólica,comunidadValenciana,2024-07-01,125201.249
Eólica,comunidadValenciana,2024-08-01,94571.009
Eólica,comunidadValenciana,2024-09-01,141264.163
Eólica,comunidadValenciana,2024-10-01,211637.55
Eólica,comunidadValenciana,2024-11-01,155843.961
Eólica,comunidadValenciana,2024-12-01,252976.08
Solar fotovoltaica,comunidadValenciana,2023-01-01,39923.963
Solar fotovoltaica,comunidadValenciana,2023-02-01,36711.514
Solar fotovoltaica,comunidadValenciana,2023-03-01,61104.902
Solar fotovoltaica,comunidadValenciana,2023-04-01,68680.901
Solar fotovoltaica,comunidadValenciana,2023-05-01,60020.363
Solar fotovoltaica,comunidadValenciana,2023-06-01,63347.718
Solar fotovoltaica,comunidadValenciana,2023-07-01,66724.834
Solar fotovoltaica,comunidadValenciana,2023-08-01,68185.352
