variable,comunidad,fecha,valor
Hidráulica,extremadura,2023-01-01,382387.368
Hidráulica,extremadura,2023-02-01,276135.413
Hidráulica,extremadura,2023-03-01,121806.844
Hidráulica,extremadura,2023-04-01,109323.837
Hidráulica,extremadura,2023-05-01,76589.416
Hidráulica,extremadura,2023-06-01,188361.222
Hidráulica,extremadura,2023-07-01,182733.831
Hidráulica,extremadura,2023-08-01,77351.275
Hidráulica,extremadura,2023-09-01,60753.645
Hidráulica,extremadura,2023-10-01,97072.505
Hidráulica,extremadura,2023-11-01,185023.472
Hidráulica,extremadura,2023-12-01,360752.461
Hidráulica,extremadura,2024-01-01,482160.594
Hidráulica,extremadura,2024-02-01,449149.2
Hidráulica,extremadura,2024-03-01,556581.971
Hidráulica,extremadura,2024-04-01,437644.666
Hidráulica,extremadura,2024-05-01,163390.708
Hidráulica,extremadura,2024-06-01,256057.428
Hidráulica,extremadura,2024-07-01,354012.85
Hidráulica,extremadura,2024-08-01,226985.782
Hidráulica,extremadura,2024-09-01,119458.34
Hidráulica,extremadura,2024-10-01,206949.758
Hidráulica,extremadura,2024-11-01,109828.911
Hidráulica,extremadura,2024-12-01,142324.591
Eólica,extremadura,2023-01-01,9889.01
Eólica,extremadura,2023-02-01,14350.656
Eólica,extremadura,2023-03-01,8488.186
Eólica,extremadura,2023-04-01,8674.659
Eólica,extremadura,2023-05-01,9356.909
Eólica,extremadura,2023-06-01,6607.188
Eólica,extremadura,2023-07-01,6080.876
Eólica,extremadura,2023-08-01,8476.349
Eólica,extremadura,2023-09-01,7033.705
Eólica,extremadura,2023-10-01,10692.616
Eólica,extremadura,2023-11-01,8773.345
Eólica,extremadura,2023-12-01,7596.604
Eólica,extremadura,2024-01-01,16688.412
Eólica,extremadura,2024-02-01,20061.756
Eólica,extremadura,2024-03-01,25340.917
Eólica,extremadura,2024-04-01,14998.573
Eólica,extremadura,2024-05-01,15699.127
Eólica,extremadura,2024-06-01,11376.514
Eólica,extremadura,2024-07-01,12899.576
Eólica,extremadura,2024-08-01,13626.679
Eólica,extremadura,2024-09-01,14964.013
Eólica,extremadura,2024-10-01,25235.578
