variable,comunidad,fecha,valor
Hidráulica,galicia,2023-01-01,1584615.676
Hidráulica,galicia,2023-02-01,848096.146
Hidráulica,galicia,2023-03-01,699405.956
Hidráulica,galicia,2023-04-01,489805.659
Hidráulica,galicia,2023-05-01,396907.085
Hidráulica,galicia,2023-06-01,372574.818
Hidráulica,galicia,2023-07-01,147715.554
Hidráulica,galicia,2023-08-01,125597.773
Hidráulica,galicia,2023-09-01,154700.81
Hidráulica,galicia,2023-10-01,541894.621
Hidráulica,galicia,2023-11-01,1498029.014
Hidráulica,galicia,2023-12-01,1573813.311
Hidráulica,galicia,2024-01-01,1440308.158
Hidráulica,galicia,2024-02-01,1118843.701
Hidráulica,galicia,2024-03-01,1669937.827
Hidráulica,galicia,2024-04-01,1166122.699
Hidráulica,galicia,2024-05-01,938692.495
Hidráulica,galicia,2024-06-01,517591.762
Hidráulica,galicia,2024-07-01,256702.909
Hidráulica,galicia,2024-08-01,280733.552
Hidráulica,galicia,2024-09-01,365292.561
Hidráulica,galicia,2024-10-01,875001.711
Hidráulica,galicia,2024-11-01,804499.819
Hidráulica,galicia,2024-12-01,697074.623
Eólica,galicia,2023-01-01,1175200.376
Eólica,galicia,2023-02-01,662961.151
Eólica,galicia,2023-03-01,1214148.924
Eólica,galicia,2023-04-01,567250.397
Eólica,galicia,2023-05-01,824068.386
Eólica,galicia,2023-06-01,330309.113
Eólica,galicia,2023-07-01,388758.61
Eólica,galicia,2023-08-01,463355.503
Eólica,galicia,2023-09-01,566286.286
Eólica,galicia,2023-10-01,990743.723
Eólica,galicia,2023-11-01,1024962.942
Eólica,galicia,2023-12-01,899129.215
Eólica,galicia,2024-01-01,979223.477
Eólica,galicia,2024-02-01,834514.15
Eólica,galicia,2024-03-01,919718.488
Eólica,galicia,2024-04-01,718578.813
Eólica,galicia,2024-05-01,585718.013
Eólica,galicia,2024-06-01,698759.112
Eólica,galicia,2024-07-01,553313.586
Eólica,galicia,2024-08-01,463500.929
Eólica,galicia,2024-09-01,667905.825
Eólica,galicia,2024-10-01,912652.65
Eólica,galicia,2024-11-01,880068.213
Eólica,galicia,2024-12-01,646443.395
Solar fotovoltaica,galicia,2023-01-01,1035.82
Solar fotovoltaica,galicia,2023-02-01,1752.562
Solar fotovoltaica,galicia,2023-03-01,1778.753
Solar fotovoltaica,galicia,2023-04-01,2359.495
Solar fotovoltaica,galicia,2023-05-01,2668.852
Solar fotovoltaica,galicia,2023-06-01,2425.607
Solar fotovoltaica,galicia,2023-07-01,2804.435
Solar fotovoltaica,galicia,2023-08-01,2588.866
Solar fotovoltaica,galicia,2023-09-01,1937.826
Solar fotovoltaica,galicia,2023-10-01,1340.929
Solar fotovoltaica,galicia,2023-11-01,802.387
Solar fotovoltaica,galicia,2023-12-01,777.345
Solar fotovoltaica,galicia,2024-01-01,871.45
Solar fotovoltaica,galicia,2024-02-01,1273.144
Solar fotovoltaica,galicia,2024-03-01,1612.693
Solar fotovoltaica,galicia,2024-04-01,2490.88
Solar fotovoltaica,galicia,2024-05-01,2444.073
Solar fotovoltaica,galicia,2024-06-01,2494.856
Solar fotovoltaica,galicia,2024-07-01,2877.631
Solar fotovoltaica,galicia,2024-08-01,2782.007
Solar fotovoltaica,galicia,2024-09-01,1870.471
Solar fotovoltaica,galicia,2024-10-01,1206.315
Solar fotovoltaica,galicia,2024-11-01,1121.218
Solar fotovoltaica,galicia,2024-12-01,956.404
Otras renovables,galicia,2023-01-01,22892.445
Otras renovables,galicia,2023-02-01,28590.94
Otras renovables,galicia,2023-03-01,29566.064
Otras renovables,galicia,2023-04-01,22556.143
Otras renovables,galicia,2023-05-01,35797.363
Otras renovables,galicia,2023-06-01,34723.717
Otras renovables,galicia,2023-07-01,32095.605
Otras renovables,galicia,2023-08-01,37422.276
Otras renovables,galicia,2023-09-01,22451.14
Otras renovables,galicia,2023-10-01,35913.332
Otras renovables,galicia,2023-11-01,28262.378
Otras renovables,galicia,2023-12-01,24756.775
Otras renovables,galicia,2024-01-01,28307.769
Otras renovables,galicia,2024-02-01,30490.096
Otras renovables,galicia,2024-03-01,13748.905
Otras renovables,galicia,2024-04-01,32539.338
Otras renovables,galicia,2024-05-01,33402.959
Otras renovables,galicia,2024-06-01,36236.042
Otras renovables,galicia,2024-07-01,33259.579
Otras renovables,galicia,2024-08-01,30977.012
Otras renovables,galicia,2024-09-01,15752.413
Otras renovables,galicia,2024-10-01,9790.87
Otras renovables,galicia,2024-11-01,34697.682
Otras renovables,galicia,2024-12-01,36574.516
Residuos renovables,galicia,2023-01-01,12403.516
Residuos renovables,galicia,2023-02-01,14515.526
Residuos renovables,galicia,2023-03-01,13928.3325
Residuos renovables,galicia,2023-04-01,15792.1785
Residuos renovables,galicia,2023-05-01,1991.9325
Residuos renovables,galicia,2023-06-01,11093.5505
Residuos renovables,galicia,2023-07-01,15943.8365
Residuos renovables,galicia,2023-08-01,14393.964
Residuos renovables,galicia,2023-09-01,16421.367
Residuos renovables,galicia,2023-10-01,16899.136
Residuos renovables,galicia,2023-11-01,12181.374
Residuos renovables,galicia,2023-12-01,14236.0375
Residuos renovables,galicia,2024-01-01,8140.1785
Residuos renovables,galicia,2024-02-01,15104.9255
Residuos renovables,galicia,2024-03-01,16090.7935
Residuos renovables,galicia,2024-04-01,14246.782
Residuos renovables,galicia,2024-05-01,13931.254
Residuos renovables,galicia,2024-06-01,15451.265
Residuos renovables,galicia,2024-07-01,15111.371
Residuos renovables,galicia,2024-08-01,13503.8485
Residuos renovables,galicia,2024-09-01,13631.4745
Residuos renovables,galicia,2024-10-01,11319.444
Residuos renovables,galicia,2024-11-01,16140.549
Residuos renovables,galicia,2024-12-01,16390.9815
Generación renovable,galicia,2023-01-01,2796147.833
Generación renovable,galicia,2023-02-01,1555916.3249999995
Generación renovable,galicia,2023-03-01,1958828.0295
Generación renovable,galicia,2023-04-01,1097763.8724999998
Generación renovable,galicia,2023-05-01,1261433.6185
Generación renovable,galicia,2023-06-01,751126.8055
Generación renovable,galicia,2023-07-01,587318.0405
Generación renovable,galicia,2023-08-01,643358.3820000001
Generación renovable,galicia,2023-09-01,761797.4289999999
Generación renovable,galicia,2023-10-01,1586791.741
Generación renovable,galicia,2023-11-01,2564238.095
Generación renovable,galicia,2023-12-01,2512712.6835000003
Generación renovable,galicia,2024-01-01,2456851.0325
Generación renovable,galicia,2024-02-01,2000226.0165
Generación renovable,galicia,2024-03-01,2621108.7065
Generación renovable,galicia,2024-04-01,1933978.512
Generación renovable,galicia,2024-05-01,1574188.794
Generación renovable,galicia,2024-06-01,1270533.0369999995
Generación renovable,galicia,2024-07-01,861265.0760000001
Generación renovable,galicia,2024-08-01,791497.3485
Generación renovable,galicia,2024-09-01,1064452.7445
Generación renovable,galicia,2024-10-01,1809970.99
Generación renovable,galicia,2024-11-01,1736527.4810000004
Generación renovable,galicia,2024-12-01,1397439.9195000003
Ciclo combinado,galicia,2023-01-01,302805.602
Ciclo combinado,galicia,2023-02-01,329955.401
Ciclo combinado,galicia,2023-03-01,136401.062
Ciclo combinado,galicia,2023-04-01,304369.027
Ciclo combinado,galicia,2023-05-01,351578.667
Ciclo combinado,galicia,2023-06-01,475507.368
Ciclo combinado,galicia,2023-07-01,402424.521
Ciclo combinado,galicia,2023-08-01,369664.989
Ciclo combinado,galicia,2023-09-01,324243.889
Ciclo combinado,galicia,2023-10-01,322978.046
Ciclo combinado,galicia,2023-11-01,231958.705
Ciclo combinado,galicia,2023-12-01,236381.183
Ciclo combinado,galicia,2024-01-01,214749.096
Ciclo combinado,galicia,2024-02-01,123630.465
Ciclo combinado,galicia,2024-03-01,127223.157
Ciclo combinado,galicia,2024-04-01,101237.065
Ciclo combinado,galicia,2024-05-01,141507.353
Ciclo combinado,galicia,2024-06-01,129951.891
Ciclo combinado,galicia,2024-07-01,204985.763
Ciclo combinado,galicia,2024-08-01,200145.829
Ciclo combinado,galicia,2024-09-01,186464.1
Ciclo combinado,galicia,2024-10-01,196559.757
Ciclo combinado,galicia,2024-11-01,237369.848
Ciclo combinado,galicia,2024-12-01,270244.133
Carbón,galicia,2023-01-01,24378.718
Carbón,galicia,2023-02-01,66646.234
Carbón,galicia,2023-03-01,153400.643
Carbón,galicia,2023-04-01,51341.926
Carbón,galicia,2023-05-01,11827.207
Carbón,galicia,2023-06-01,NA
Carbón,galicia,2023-07-01,40524.038
Carbón,galicia,2023-08-01,163843
Carbón,galicia,2023-09-01,145348.592
Carbón,galicia,2023-10-01,19438.648
Carbón,galicia,2023-11-01,NA
Carbón,galicia,2023-12-01,NA
Carbón,galicia,2024-01-01,NA
Carbón,galicia,2024-02-01,NA
Carbón,galicia,2024-03-01,NA
Carbón,galicia,2024-04-01,NA
Carbón,galicia,2024-05-01,NA
Carbón,galicia,2024-06-01,NA
Carbón,galicia,2024-07-01,NA
Carbón,galicia,2024-08-01,NA
Carbón,galicia,2024-09-01,NA
Carbón,galicia,2024-10-01,NA
Carbón,galicia,2024-11-01,NA
Carbón,galicia,2024-12-01,NA
Cogeneración,galicia,2023-01-01,102999.599
Cogeneración,galicia,2023-02-01,115050.238
Cogeneración,galicia,2023-03-01,105153.134
Cogeneración,galicia,2023-04-01,106537.124
Cogeneración,galicia,2023-05-01,98257.468
Cogeneración,galicia,2023-06-01,98923.799
Cogeneración,galicia,2023-07-01,102633.056
Cogeneración,galicia,2023-08-01,81161.131
Cogeneración,galicia,2023-09-01,96158.668
Cogeneración,galicia,2023-10-01,72422.583
Cogeneración,galicia,2023-11-01,72741.41
Cogeneración,galicia,2023-12-01,90113.892
Cogeneración,galicia,2024-01-01,130468.253
Cogeneración,galicia,2024-02-01,104748.237
Cogeneración,galicia,2024-03-01,103504.228
Cogeneración,galicia,2024-04-01,80289.325
Cogeneración,galicia,2024-05-01,111283.085
Cogeneración,galicia,2024-06-01,110751.225
Cogeneración,galicia,2024-07-01,115654.343
Cogeneración,galicia,2024-08-01,89405.96
Cogeneración,galicia,2024-09-01,97628.186
Cogeneración,galicia,2024-10-01,94868.649
Cogeneración,galicia,2024-11-01,114899.896
Cogeneración,galicia,2024-12-01,102786.02
Residuos no renovables,galicia,2023-01-01,12403.516
Residuos no renovables,galicia,2023-02-01,14515.526
Residuos no renovables,galicia,2023-03-01,13928.3325
Residuos no renovables,galicia,2023-04-01,15792.1785
Residuos no renovables,galicia,2023-05-01,1991.9325
Residuos no renovables,galicia,2023-06-01,11093.5505
Residuos no renovables,galicia,2023-07-01,15943.8365
Residuos no renovables,galicia,2023-08-01,14393.964
Residuos no renovables,galicia,2023-09-01,16421.367
Residuos no renovables,galicia,2023-10-01,16899.136
Residuos no renovables,galicia,2023-11-01,12181.374
Residuos no renovables,galicia,2023-12-01,14236.0375
Residuos no renovables,galicia,2024-01-01,8140.1785
Residuos no renovables,galicia,2024-02-01,15104.9255
Residuos no renovables,galicia,2024-03-01,16090.7935
Residuos no renovables,galicia,2024-04-01,14246.782
Residuos no renovables,galicia,2024-05-01,13931.254
Residuos no renovables,galicia,2024-06-01,15451.265
Residuos no renovables,galicia,2024-07-01,15111.371
Residuos no renovables,galicia,2024-08-01,13503.8485
Residuos no renovables,galicia,2024-09-01,13631.4745
Residuos no renovables,galicia,2024-10-01,11319.444
Residuos no renovables,galicia,2024-11-01,16140.549
Residuos no renovables,galicia,2024-12-01,16390.9815
Generación no renovable,galicia,2023-01-01,442587.435
Generación no renovable,galicia,2023-02-01,526167.399
Generación no renovable,galicia,2023-03-01,408883.17150000005
Generación no renovable,galicia,2023-04-01,478040.2555
Generación no renovable,galicia,2023-05-01,463655.2745
Generación no renovable,galicia,2023-06-01,585524.7175
Generación no renovable,galicia,2023-07-01,561525.4515
Generación no renovable,galicia,2023-08-01,629063.0840000001
Generación no renovable,galicia,2023-09-01,582172.516
Generación no renovable,galicia,2023-10-01,431738.413
Generación no renovable,galicia,2023-11-01,316881.489
Generación no renovable,galicia,2023-12-01,340731.1125
Generación no renovable,galicia,2024-01-01,353357.5275
Generación no renovable,galicia,2024-02-01,243483.6275
Generación no renovable,galicia,2024-03-01,246818.1785
