variable,comunidad,fecha,valor
Hidráulica,andalucia,2023-01-01,18407.598
Hidráulica,andalucia,2023-02-01,10515.175
Hidráulica,andalucia,2023-03-01,14122.596
Hidráulica,andalucia,2023-04-01,24457.044
Hidráulica,andalucia,2023-05-01,18438.12
Hidráulica,andalucia,2023-06-01,20903.724
Hidráulica,andalucia,2023-07-01,25827.152
Hidráulica,andalucia,2023-08-01,19500.639
Hidráulica,andalucia,2023-09-01,12891.427
Hidráulica,andalucia,2023-10-01,8201.012
Hidráulica,andalucia,2023-11-01,6182.446
Hidráulica,andalucia,2023-12-01,7543.077
Hidráulica,andalucia,2024-01-01,11457.931
Hidráulica,andalucia,2024-02-01,26755.854
Hidráulica,andalucia,2024-03-01,39191.068
Hidráulica,andalucia,2024-04-01,38972.645
Hidráulica,andalucia,2024-05-01,50085.299
Hidráulica,andalucia,2024-06-01,63497.791
Hidráulica,andalucia,2024-07-01,66119.871
Hidráulica,andalucia,2024-08-01,68585.722
Hidráulica,andalucia,2024-09-01,36364.907
Hidráulica,andalucia,2024-10-01,8803.44
Hidráulica,andalucia,2024-11-01,14660.168
Hidráulica,andalucia,2024-12-01,11743.874
Eólica,andalucia,2023-01-01,552635.226
Eólica,andalucia,2023-02-01,819123.227
Eólica,andalucia,2023-03-01,494246.479
Eólica,andalucia,2023-04-01,578915.073
Eólica,andalucia,2023-05-01,400859.296
Eólica,andalucia,2023-06-01,523085.812
Eólica,andalucia,2023-07-01,351426.094
Eólica,andalucia,2023-08-01,502427.034
Eólica,andalucia,2023-09-01,504626.328
Eólica,andalucia,2023-10-01,722747.292
Eólica,andalucia,2023-11-01,435164.533
Eólica,andalucia,2023-12-01,399027.577
Eólica,andalucia,2024-01-01,699627.921
Eólica,andalucia,2024-02-01,775589.69
Eólica,andalucia,2024-03-01,715143.506
Eólica,andalucia,2024-04-01,439816.362
Eólica,andalucia,2024-05-01,535896.748
Eólica,andalucia,2024-06-01,493763.226
Eólica,andalucia,2024-07-01,418056.741
Eólica,andalucia,2024-08-01,400377.754
Eólica,andalucia,2024-09-01,477315.484
Eólica,andalucia,2024-10-01,579969.136
Eólica,andalucia,2024-11-01,628895.606
Eólica,andalucia,2024-12-01,537366.747
Solar fotovoltaica,andalucia,2023-01-01,429269.28
Solar fotovoltaica,andalucia,2023-02-01,471628.414
Solar fotovoltaica,andalucia,2023-03-01,728490.931
Solar fotovoltaica,andalucia,2023-04-01,849844.867
Solar fotovoltaica,andalucia,2023-05-01,836786.208
Solar fotovoltaica,andalucia,2023-06-01,892010.71
Solar fotovoltaica,andalucia,2023-07-01,1020039.276
Solar fotovoltaica,andalucia,2023-08-01,947918.311
Solar fotovoltaica,andalucia,2023-09-01,767192.797
Solar fotovoltaica,andalucia,2023-10-01,603256.874
Solar fotovoltaica,andalucia,2023-11-01,496101.24
Solar fotovoltaica,andalucia,2023-12-01,458843.053
Solar fotovoltaica,andalucia,2024-01-01,498233.561
Solar fotovoltaica,andalucia,2024-02-01,666607.33
Solar fotovoltaica,andalucia,2024-03-01,660445.174
Solar fotovoltaica,andalucia,2024-04-01,933916.49
Solar fotovoltaica,andalucia,2024-05-01,1185475.53
Solar fotovoltaica,andalucia,2024-06-01,1060794.948
Solar fotovoltaica,andalucia,2024-07-01,1274996.331
Solar fotovoltaica,andalucia,2024-08-01,1207534.878
Solar fotovoltaica,andalucia,2024-09-01,948578.268
Solar fotovoltaica,andalucia,2024-10-01,655998.6
Solar fotovoltaica,andalucia,2024-11-01,588903.792
Solar fotovoltaica,andalucia,2024-12-01,648770.227
Solar térmica,andalucia,2023-01-01,60160.005
Solar térmica,andalucia,2023-02-01,66149.932
Solar térmica,andalucia,2023-03-01,184221.103
Solar térmica,andalucia,2023-04-01,262570.824
Solar térmica,andalucia,2023-05-01,217420.096
Solar térmica,andalucia,2023-06-01,246753.391
Solar térmica,andalucia,2023-07-01,334094.611
Solar térmica,andalucia,2023-08-01,312974.37
Solar térmica,andalucia,2023-09-01,187382.859
Solar térmica,andalucia,2023-10-01,110477.164
Solar térmica,andalucia,2023-11-01,66125.457
Solar térmica,andalucia,2023-12-01,49901.77
Solar térmica,andalucia,2024-01-01,46695.888
Solar térmica,andalucia,2024-02-01,82670.897
Solar térmica,andalucia,2024-03-01,67442.118
Solar térmica,andalucia,2024-04-01,168026.316
Solar térmica,andalucia,2024-05-01,259091.694
Solar térmica,andalucia,2024-06-01,217786.06
Solar térmica,andalucia,2024-07-01,319555.764
Solar térmica,andalucia,2024-08-01,289788.816
Solar térmica,andalucia,2024-09-01,187454.713
Solar térmica,andalucia,2024-10-01,72723.47
Solar térmica,andalucia,2024-11-01,40710.478
Solar térmica,andalucia,2024-12-01,52374.541
Otras renovables,andalucia,2023-01-01,97452.702
Otras renovables,andalucia,2023-02-01,138232.405
Otras renovables,andalucia,2023-03-01,121121.687
Otras renovables,andalucia,2023-04-01,81576.89
Otras renovables,andalucia,2023-05-01,106219.331
Otras renovables,andalucia,2023-06-01,106738.553
Otras renovables,andalucia,2023-07-01,110210.234
Otras renovables,andalucia,2023-08-01,121465.396
Otras renovables,andalucia,2023-09-01,90262.566
Otras renovables,andalucia,2023-10-01,72705.497
Otras renovables,andalucia,2023-11-01,81946.855
Otras renovables,andalucia,2023-12-01,78178.701
Otras renovables,andalucia,2024-01-01,96577.256
Otras renovables,andalucia,2024-02-01,95203.628
Otras renovables,andalucia,2024-03-01,126316.862
Otras renovables,andalucia,2024-04-01,114753.209
Otras renovables,andalucia,2024-05-01,130291.33
Otras renovables,andalucia,2024-06-01,125121.458
Otras renovables,andalucia,2024-07-01,144367.408
Otras renovables,andalucia,2024-08-01,134492.183
Otras renovables,andalucia,2024-09-01,127307.344
Otras renovables,andalucia,2024-10-01,119916.627
Otras renovables,andalucia,2024-11-01,127105.376
Otras renovables,andalucia,2024-12-01,142142.543
Generación renovable,andalucia,2023-01-01,1157924.811
Generación renovable,andalucia,2023-02-01,1505649.1530000002
Generación renovable,andalucia,2023-03-01,1542202.796
Generación renovable,andalucia,2023-04-01,1797364.698
Generación renovable,andalucia,2023-05-01,1579723.0509999995
Generación renovable,andalucia,2023-06-01,1789492.19
Generación renovable,andalucia,2023-07-01,1841597.367
Generación renovable,andalucia,2023-08-01,1904285.75
Generación renovable,andalucia,2023-09-01,1562355.9770000002
Generación renovable,andalucia,2023-10-01,1517387.839
Generación renovable,andalucia,2023-11-01,1085520.531
Generación renovable,andalucia,2023-12-01,993494.178
Generación renovable,andalucia,2024-01-01,1352592.557
Generación renovable,andalucia,2024-02-01,1646827.3989999995
Generación renovable,andalucia,2024-03-01,1608538.728
Generación renovable,andalucia,2024-04-01,1695485.022
Generación renovable,andalucia,2024-05-01,2160840.601
Generación renovable,andalucia,2024-06-01,1960963.483
Generación renovable,andalucia,2024-07-01,2223096.115
Generación renovable,andalucia,2024-08-01,2100779.353
Generación renovable,andalucia,2024-09-01,1777020.716
Generación renovable,andalucia,2024-10-01,1437411.273
Generación renovable,andalucia,2024-11-01,1400275.4200000002
Generación renovable,andalucia,2024-12-01,1392397.9319999998
Ciclo combinado,andalucia,2023-01-01,435705.037
Ciclo combinado,andalucia,2023-02-01,961366.91
Ciclo combinado,andalucia,2023-03-01,682663.778
Ciclo combinado,andalucia,2023-04-01,535280.277
Ciclo combinado,andalucia,2023-05-01,608059.564
Ciclo combinado,andalucia,2023-06-01,1003064.839
Ciclo combinado,andalucia,2023-07-01,1222328.392
Ciclo combinado,andalucia,2023-08-01,1305263.087
Ciclo combinado,andalucia,2023-09-01,1124693.86
Ciclo combinado,andalucia,2023-10-01,879905.918
Ciclo combinado,andalucia,2023-11-01,445107.876
Ciclo combinado,andalucia,2023-12-01,611432.461
Ciclo combinado,andalucia,2024-01-01,675629.495
Ciclo combinado,andalucia,2024-02-01,366249.366
Ciclo combinado,andalucia,2024-03-01,332179.23
Ciclo combinado,andalucia,2024-04-01,342146.563
Ciclo combinado,andalucia,2024-05-01,284298.636
Ciclo combinado,andalucia,2024-06-01,300750.337
Ciclo combinado,andalucia,2024-07-01,601544.108
Ciclo combinado,andalucia,2024-08-01,781108.192
Ciclo combinado,andalucia,2024-09-01,548730.59
Ciclo combinado,andalucia,2024-10-01,491191.387
Ciclo combinado,andalucia,2024-11-01,651473.086
Ciclo combinado,andalucia,2024-12-01,926884.574
Carbón,andalucia,2023-01-01,42254.524
Carbón,andalucia,2023-02-01,82160.509
Carbón,andalucia,2023-03-01,24003.231
Carbón,andalucia,2023-04-01,NA
Carbón,andalucia,2023-05-01,NA
Carbón,andalucia,2023-06-01,18408.7
Carbón,andalucia,2023-07-01,6516.562
Carbón,andalucia,2023-08-01,NA
Carbón,andalucia,2023-09-01,19866.413
Carbón,andalucia,2023-10-01,70177.176
Carbón,andalucia,2023-11-01,NA
Carbón,andalucia,2023-12-01,NA
Carbón,andalucia,2024-01-01,46893.149
Carbón,andalucia,2024-02-01,2593.469
Carbón,andalucia,2024-03-01,NA
Carbón,andalucia,2024-04-01,NA
Carbón,andalucia,2024-05-01,NA
Carbón,andalucia,2024-06-01,NA
Carbón,andalucia,2024-07-01,NA
Carbón,andalucia,2024-08-01,NA
Carbón,andalucia,2024-09-01,NA
Carbón,andalucia,2024-10-01,53868.067
Carbón,andalucia,2024-11-01,55892.794
Carbón,andalucia,2024-12-01,40350.903
Cogeneración,andalucia,2023-01-01,277511.456
Cogeneración,andalucia,2023-02-01,286107.309
Cogeneración,andalucia,2023-03-01,316528.78
Cogeneración,andalucia,2023-04-01,286081.488
Cogeneración,andalucia,2023-05-01,280537.778
Cogeneración,andalucia,2023-06-01,270325.689
Cogeneración,andalucia,2023-07-01,263715.817
Cogeneración,andalucia,2023-08-01,274556.61
Cogeneración,andalucia,2023-09-01,295304.707
Cogeneración,andalucia,2023-10-01,237206.482
Cogeneración,andalucia,2023-11-01,208338.305
Cogeneración,andalucia,2023-12-01,278045.86
Cogeneración,andalucia,2024-01-01,306817.259
Cogeneración,andalucia,2024-02-01,292274.8
Cogeneración,andalucia,2024-03-01,293737.231
Cogeneración,andalucia,2024-04-01,202261.446
Cogeneración,andalucia,2024-05-01,246439.55
Cogeneración,andalucia,2024-06-01,265811.003
Cogeneración,andalucia,2024-07-01,291069.001
Cogeneración,andalucia,2024-08-01,272300.642
Cogeneración,andalucia,2024-09-01,231988.99
Cogeneración,andalucia,2024-10-01,199278.024
Cogeneración,andalucia,2024-11-01,289511.132
Cogeneración,andalucia,2024-12-01,293667.012
Residuos no renovables,andalucia,2023-01-01,1335.624
Residuos no renovables,andalucia,2023-02-01,1735.056
Residuos no renovables,andalucia,2023-03-01,1476.31
Residuos no renovables,andalucia,2023-04-01,1418.119
Residuos no renovables,andalucia,2023-05-01,1694.788
Residuos no renovables,andalucia,2023-06-01,1833.28
Residuos no renovables,andalucia,2023-07-01,1605.59
Residuos no renovables,andalucia,2023-08-01,1818.624
Residuos no renovables,andalucia,2023-09-01,1783.578
Residuos no renovables,andalucia,2023-10-01,1539.942
Residuos no renovables,andalucia,2023-11-01,3234.355
Residuos no renovables,andalucia,2023-12-01,1789.186
Residuos no renovables,andalucia,2024-01-01,1709.787
Residuos no renovables,andalucia,2024-02-01,1126.425
Residuos no renovables,andalucia,2024-03-01,518.484
Residuos no renovables,andalucia,2024-04-01,284.24
Residuos no renovables,andalucia,2024-05-01,1011.732
Residuos no renovables,andalucia,2024-06-01,1448.447
Residuos no renovables,andalucia,2024-07-01,1661.927
Residuos no renovables,andalucia,2024-08-01,1848.886
Residuos no renovables,andalucia,2024-09-01,1612.306
Residuos no renovables,andalucia,2024-10-01,2447.247
Residuos no renovables,andalucia,2024-11-01,2119.272
Residuos no renovables,andalucia,2024-12-01,1774.812
