variable,comunidad,valor,fecha
Hidráulica,Andalucia,18407.598,2023-01-01
Carbón,Andalucia,42254.524,2023-01-01
Ciclo combinado,Andalucia,435705.037,2023-01-01
Eólica,Andalucia,552635.226,2023-01-01
Solar fotovoltaica,Andalucia,429269.28,2023-01-01
Solar térmica,Andalucia,60160.005,2023-01-01
Otras renovables,Andalucia,97452.702,2023-01-01
Cogeneración,Andalucia,277511.456,2023-01-01
Residuos no renovables,Andalucia,1335.624,2023-01-01
Generación total,Andalucia,1914731.452,2023-01-01
Hidráulica,Andalucia,10515.175,2023-02-01
Carbón,Andalucia,82160.509,2023-02-01
Ciclo combinado,Andalucia,961366.91,2023-02-01
Eólica,Andalucia,819123.227,2023-02-01
Solar fotovoltaica,Andalucia,471628.414,2023-02-01
Solar térmica,Andalucia,66149.932,2023-02-01
Otras renovables,Andalucia,138232.405,2023-02-01
Cogeneración,Andalucia,286107.309,2023-02-01
Residuos no renovables,Andalucia,1735.056,2023-02-01
Generación total,Andalucia,2837018.9369999995,2023-02-01
Hidráulica,Andalucia,14122.596,2023-03-01
Carbón,Andalucia,24003.231,2023-03-01
Ciclo combinado,Andalucia,682663.778,2023-03-01
Eólica,Andalucia,494246.479,2023-03-01
Solar fotovoltaica,Andalucia,728490.931,2023-03-01
Solar térmica,Andalucia,184221.103,2023-03-01
Otras renovables,Andalucia,121121.687,2023-03-01
Cogeneración,Andalucia,316528.78,2023-03-01
Residuos no renovables,Andalucia,1476.31,2023-03-01
Generación total,Andalucia,2566874.895,2023-03-01
Hidráulica,Andalucia,24457.044,2023-04-01
Carbón,Andalucia,NA,2023-04-01
Ciclo combinado,Andalucia,535280.277,2023-04-01
Eólica,Andalucia,578915.073,2023-04-01
Solar fotovoltaica,Andalucia,849844.867,2023-04-01
Solar térmica,Andalucia,262570.824,2023-04-01
Otras renovables,Andalucia,81576.89,2023-04-01
Cogeneración,Andalucia,286081.488,2023-04-01
Residuos no renovables,Andalucia,1418.119,2023-04-01
Generación total,Andalucia,2620144.582,2023-04-01
Hidráulica,Andalucia,18438.12,2023-05-01
Carbón,Andalucia,NA,2023-05-01
Ciclo combinado,Andalucia,608059.564,2023-05-01
Eólica,Andalucia,400859.296,2023-05-01
Solar fotovoltaica,Andalucia,836786.208,2023-05-01
Solar térmica,Andalucia,217420.096,2023-05-01
Otras renovables,Andalucia,106219.331,2023-05-01
Cogeneración,Andalucia,280537.778,2023-05-01
Residuos no renovables,Andalucia,1694.788,2023-05-01
Generación total,Andalucia,2470015.1810000003,2023-05-01
Hidráulica,Andalucia,20903.724,2023-06-01
Carbón,Andalucia,18408.7,2023-06-01
Ciclo combinado,Andalucia,1003064.839,2023-06-01
Eólica,Andalucia,523085.812,2023-06-01
Solar fotovoltaica,Andalucia,892010.71,2023-06-01
Solar térmica,Andalucia,246753.391,2023-06-01
Otras renovables,Andalucia,106738.553,2023-06-01
Cogeneración,Andalucia,270325.689,2023-06-01
Residuos no renovables,Andalucia,1833.28,2023-06-01
Generación total,Andalucia,3083124.6979999994,2023-06-01
Hidráulica,Andalucia,25827.152,2023-07-01
Carbón,Andalucia,6516.562,2023-07-01
Ciclo combinado,Andalucia,1222328.392,2023-07-01
Eólica,Andalucia,351426.094,2023-07-01
Solar fotovoltaica,Andalucia,1020039.276,2023-07-01
Solar térmica,Andalucia,334094.611,2023-07-01
Otras renovables,Andalucia,110210.234,2023-07-01
Cogeneración,Andalucia,263715.817,2023-07-01
Residuos no renovables,Andalucia,1605.59,2023-07-01
Generación total,Andalucia,3335763.728,2023-07-01
Hidráulica,Andalucia,19500.639,2023-08-01
Carbón,Andalucia,NA,2023-08-01
Ciclo combinado,Andalucia,1305263.087,2023-08-01
Eólica,Andalucia,502427.034,2023-08-01
